customer_id,account_open_date,age_band,income_band,state,segment,advisor_assigned,churn_risk_score
CNB0000001,2024-02-21,25-34,150-200K,TN,Wealth Management,True,0.0156
CNB0000002,2000-06-26,25-34,100-150K,NC,Retail,False,0.011
CNB0000003,2007-12-17,25-34,150-200K,NC,Affluent,True,0.0725
CNB0000004,2015-11-05,35-44,200K+,AL,Wealth Management,True,0.0883
CNB0000005,2011-03-31,65+,50-100K,VA,Retail,False,0.0166
CNB0000006,2022-07-01,45-54,Under 50K,VA,Retail,False,0.0777
CNB0000007,2022-11-28,25-34,150-200K,NC,Affluent,False,0.0802
CNB0000008,2019-11-14,18-24,200K+,SC,Wealth Management,True,0.1069
CNB0000009,2021-08-05,45-54,200K+,SC,Wealth Management,True,0.0142
CNB0000010,2014-12-10,65+,50-100K,SC,Retail,False,0.0141
CNB0000011,2020-08-10,35-44,50-100K,VA,Retail,False,0.0187
CNB0000012,2020-03-13,18-24,100-150K,NC,Retail,False,0.0106
CNB0000013,2019-02-17,55-64,50-100K,KY,Retail,False,0.014
CNB0000014,2024-02-21,25-34,50-100K,GA,Retail,False,0.0132
CNB0000015,2014-06-13,25-34,150-200K,AL,Affluent,False,0.0777
CNB0000016,2024-02-21,65+,150-200K,NC,Affluent,False,0.0164
CNB0000017,2010-06-04,65+,50-100K,SC,Retail,False,0.0151
CNB0000018,2010-06-04,18-24,200K+,SC,Affluent,True,0.097
CNB0000019,2020-03-13,65+,150-200K,NC,Affluent,False,0.0135
CNB0000020,2022-07-31,25-34,100-150K,SC,Retail,False,0.0637
CNB0000021,2015-06-08,45-54,100-150K,VA,Retail,False,0.0157
CNB0000022,2015-10-06,65+,150-200K,TN,Wealth Management,True,0.0134
CNB0000023,2015-04-09,25-34,100-150K,NC,Retail,False,0.104
CNB0000024,2022-01-02,18-24,100-150K,VA,Retail,False,0.0656
CNB0000025,2012-04-24,35-44,200K+,NC,Wealth Management,True,0.1047
CNB0000026,2021-01-07,55-64,50-100K,FL,Retail,False,0.0118
CNB0000027,2017-09-25,45-54,200K+,TN,Affluent,False,0.0139
CNB0000028,2020-11-08,25-34,150-200K,GA,Wealth Management,True,0.0662
CNB0000029,2012-01-25,45-54,100-150K,GA,Retail,False,0.0954
CNB0000030,2024-02-21,45-54,50-100K,GA,Retail,False,0.0131
CNB0000031,2015-04-09,55-64,Under 50K,NC,Retail,False,0.0112
CNB0000032,2019-08-16,25-34,50-100K,VA,Retail,False,0.0216
CNB0000033,2018-06-22,25-34,50-100K,TN,Retail,False,0.0164
CNB0000034,2020-06-11,25-34,100-150K,SC,Retail,False,0.1106
