outflow_id,customer_id,transaction_date,amount_usd,descriptor,transaction_type
OFL_CNB0000003_000000,CNB0000003,2024-11-27,276.04,KRAKEN,ACH
OFL_CNB0000003_000030,CNB0000003,2024-11-29,48.1,GEMINI,ACH
OFL_CNB0000003_000028,CNB0000003,2024-12-03,229.3,COINBASE,ACH
OFL_CNB0000003_000023,CNB0000003,2024-12-04,328.54,COINBASE,ACH
OFL_CNB0000003_000022,CNB0000003,2024-12-04,286.67,COINBASE,ACH
OFL_CNB0000003_000008,CNB0000003,2024-12-04,76.6,BINANCE.US,ACH
OFL_CNB0000003_000036,CNB0000003,2024-12-04,179.31,COINBASE,ACH
OFL_CNB0000003_000024,CNB0000003,2024-12-04,54.92,COINBASE,ACH
OFL_CNB0000003_000019,CNB0000003,2024-12-04,469.82,GEMINI,ACH
OFL_CNB0000003_000018,CNB0000003,2024-12-04,37.47,KRAKEN,ACH
OFL_CNB0000003_000003,CNB0000003,2024-12-04,144.81,COINBASE,ACH
OFL_CNB0000003_000002,CNB0000003,2024-12-04,240.13,KRAKEN,ACH
OFL_CNB0000003_000012,CNB0000003,2024-12-04,246.29,GEMINI,ACH
OFL_CNB0000003_000015,CNB0000003,2024-12-04,101.25,KRAKEN,ACH
OFL_CNB0000003_000031,CNB0000003,2024-12-04,855.39,GEMINI,ACH
OFL_CNB0000003_000007,CNB0000003,2024-12-04,10.0,GEMINI,ACH
OFL_CNB0000003_000010,CNB0000003,2024-12-04,684.75,COINBASE,WIRE
OFL_CNB0000003_000005,CNB0000003,2024-12-04,348.52,KRAKEN,ACH
OFL_CNB0000003_000013,CNB0000003,2024-12-04,367.74,BINANCE.US,ACH
OFL_CNB0000003_000026,CNB0000003,2024-12-04,454.35,COINBASE,ACH
OFL_CNB0000003_000021,CNB0000003,2024-12-04,81.42,KRAKEN,ACH
OFL_CNB0000003_000016,CNB0000003,2024-12-04,18.77,COINBASE,WIRE
OFL_CNB0000003_000020,CNB0000003,2024-12-04,71.24,COINBASE,ACH
OFL_CNB0000003_000027,CNB0000003,2024-12-04,271.29,GEMINI,WIRE
OFL_CNB0000003_000033,CNB0000003,2024-12-04,32.09,BINANCE.US,ACH
OFL_CNB0000003_000029,CNB0000003,2024-12-04,522.05,COINBASE,ACH
OFL_CNB0000003_000011,CNB0000003,2024-12-04,33.04,KRAKEN,ACH
OFL_CNB0000003_000009,CNB0000003,2024-12-04,826.81,CRYPTO.COM,ACH
OFL_CNB0000003_000006,CNB0000003,2024-12-04,124.18,COINBASE,WIRE
OFL_CNB0000003_000032,CNB0000003,2024-12-04,526.82,KRAKEN,ACH
OFL_CNB0000003_000001,CNB0000003,2024-12-04,748.27,KRAKEN,ACH
OFL_CNB0000003_000034,CNB0000003,2024-12-04,50.51,COINBASE,ACH
OFL_CNB0000003_000025,CNB0000003,2024-12-04,262.79,CRYPTO.COM,ACH
OFL_CNB0000003_000014,CNB0000003,2024-12-04,30.45,CRYPTO.COM,ACH
OFL_CNB0000003_000035,CNB0000003,2024-12-04,78.52,KRAKEN,ACH
OFL_CNB0000003_000004,CNB0000003,2024-12-04,4259.11,KRAKEN,ACH
OFL_CNB0000003_000037,CNB0000003,2024-12-04,971.98,BINANCE.US,ACH
OFL_CNB0000003_000017,CNB0000003,2024-12-04,262.51,KRAKEN,ACH
OFL_CNB0000004_000000,CNB0000004,2024-10-16,178.47,KRAKEN,WIRE
OFL_CNB0000004_000009,CNB0000004,2024-11-02,111.68,COINBASE,ACH
OFL_CNB0000004_000008,CNB0000004,2024-11-06,407.39,GEMINI,ACH
OFL_CNB0000004_000004,CNB0000004,2025-01-04,726.03,CRYPTO.COM,ACH
OFL_CNB0000004_000003,CNB0000004,2025-01-04,123.3,OTHER_EXCHANGE,WIRE
OFL_CNB0000004_000010,CNB0000004,2025-01-04,673.4,BINANCE.US,ACH
OFL_CNB0000004_000005,CNB0000004,2025-01-04,417.24,COINBASE,ACH
OFL_CNB0000004_000006,CNB0000004,2025-01-04,1063.0,CRYPTO.COM,ACH
OFL_CNB0000004_000011,CNB0000004,2025-01-04,157.68,COINBASE,ACH
OFL_CNB0000004_000002,CNB0000004,2025-01-04,433.32,CRYPTO.COM,ACH
OFL_CNB0000004_000001,CNB0000004,2025-01-04,90.57,GEMINI,ACH
OFL_CNB0000004_000007,CNB0000004,2025-01-04,10.0,COINBASE,ACH
OFL_CNB0000006_000000,CNB0000006,2024-06-02,822.19,COINBASE,ACH
OFL_CNB0000006_000021,CNB0000006,2024-06-15,38.49,COINBASE,ACH
OFL_CNB0000006_000011,CNB0000006,2024-07-09,85.08,COINBASE,ACH
OFL_CNB0000006_000014,CNB0000006,2024-07-11,396.04,BINANCE.US,ACH
OFL_CNB0000006_000019,CNB0000006,2024-07-11,1080.74,COINBASE,ACH
OFL_CNB0000006_000013,CNB0000006,2024-07-11,161.0,COINBASE,ACH
OFL_CNB0000006_000020,CNB0000006,2024-07-11,155.11,KRAKEN,ACH
OFL_CNB0000006_000009,CNB0000006,2024-07-11,225.21,BINANCE.US,ACH
OFL_CNB0000006_000006,CNB0000006,2024-07-11,346.38,KRAKEN,ACH
OFL_CNB0000006_000004,CNB0000006,2024-07-11,321.0,COINBASE,ACH
OFL_CNB0000006_000003,CNB0000006,2024-07-11,66.87,GEMINI,ACH
OFL_CNB0000006_000017,CNB0000006,2024-07-11,193.55,CRYPTO.COM,ACH
OFL_CNB0000006_000012,CNB0000006,2024-07-11,6019.26,KRAKEN,ACH
